address,area,city,guest_recommendation,hotel_description,hotel_facilities,latitude,locality,longitude,property_id,property_name,property_type,province,room_count,room_type,site_review_count,site_review_rating,state,uniq_id
"Airport Circle, Nr. SVP International Airport, Hansol,","Airport Zone, Hansol",Ahmedabad,79,The standard check-in time is 09:00 AM and the standard check-out time is 09:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Airport Transfer Available / Surcharge|Babysitting/ Child Care (surcharge)|Banquet Facilities|Business Center |Concierge|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Spa On Site - Chargeable|Local Tour / Travel Desk|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Air-Conditioning - Central|Power Backup|Express Check-In / Check-Out|Audio - Visual Equipment|Computer Rental|Wedding Services Facility|Exhibit Space|Wake-up Call / Service|Fitness Equipment|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Disabled Friendly Rooms|Fax Machine|Electronic / Magnetic Keys|Wheelchair Accessibility - Room|Massage Services |Village Visit ( Chargeable )|Car Rental|Express Laundry|Taxi Services|Board Room| Drivers Rest Room|Newspapers In Lobby|Postal / Parcel Services|Room Service (24 Hours)|Spa Services Nearby|Party hall|STD / ISD|Baggage Room|Courier Service|Internet / Fax (Reception area only)|Adjoining Rooms|Courtesy Coach|RO Water Purification System|Airport Transfer Free|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|Fire Safety|Anti-Slip Ramps|CCTV|Fire Exit Signs|First-Aid Kit at Front Desk|Metal Detectors|Pest Control Facility|Public Restrooms|Smoke Detector|Stamps and Mailing Facility|Suites,23.08100049,"Airport Zone, Hansol",72.61718224,HTLGBO1000001177,Comfort Inn Sunset,Hotel,Ahmedabad,10,Deluxe Room,54,4.4,Gujarat,7f86d37c92bd1c86e4c6e727436ff622
"Village Shivpuri, Rishikesh, Uttarakhand, laxman jhula area Pin Code 249201",Laxman Jhula Area,Rishikesh,100,"The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Parking at owner's risk. Camp will not take any responsibility for the lost of any valuable items like money, Jewelry and etc. It will be at owner's risk.",Library|Non Smoking Rooms|Front Desk|Multi Cuisine Restaurant |Non Smoking Hotel|24 Hour Front Desk|Welcome Drinks|Multi Lingual Staff|Wake-up Call / Service|Wheelchair Accessibility - Room|Nature Walk|In House Events |Vegetarian Food / Jain Food Available|Village Visit ( Chargeable )|Water Dispenser Available|Campfire / Bon Fire|Food Facility|Baggage Room,30.13751443,Laxman Jhula Area,78.39209206,HTLGBO1000027140,"Cradle of Life,High Bank",Tent,Rishikesh,23,Luxury Swiss Camp,7,4.5,Uttarakhand,a538228e1cee6cd036ab22fc0464c0c3
Giri Nivas  c/o Mr. Srinivas Dairy Farm Road Road Opposite to SAI Hockey Stadium,Madikeri,Coorg,100,"The standard check-in time is 01:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly GUESTS ARE REQUESTED TO WIND UP PARTYING IF ANY, BY 10 PM (NO LOUD MUSIC AND LOUD VOICE AFTER 10 PM PLEASE).  ONLY RESPONSIBLE ALCOHOL CONSUMPTION IS ALLOWED.  WE NEED TO MAKE SURE WE DO NOT DISTURB THE NEIGHBORS.  ID PROOF NEEDED AT CHECKIN.",Parking Facilities Available|Power Backup|Suitable For Children|Smoking Area |Taxi Services|Outdoor Parking - Secured|Parking Facility,12.4240014,Madikeri,75.72893734,HTLGBO1000046572,COORG GIRINIVAS-A BUDGET HOMESTAY IN MADIKERI,Homestay,Coorg,3,A THREE-BEDROOM HOUSE WITH ONE ATTACHED BATHROOM AND ONE COMMON BATHROOM.,7,4.6,Karnataka,19305858684cfcf2af8431420420405e
"NH 8A, MANDVI-NALIYA HIGHWAY, VILL SHIRVA, MANDVI, KUTCH",Mandvi,Kutch,100,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Government ID cards are mandatory during the time of check in.,Doctor on Call|Parking Facilities Available|Front Desk|Luggage Storage|Doorman|Internet Access Free|Baggage Room|Outdoor Parking - Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk,22.86235742,Mandvi,69.28853036,HTLGBO1000066868,D.S Inn,Hotel,Kutch,32,Deluxe Rooms,2,4.5,Gujarat,85437cb8f720b1eb9d1bae66611fdd77
"A-1, Kailash Colony",Greater Kailash Area,Delhi,73,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Terms and Conditions: 1.	Valid ID proof is required at the time of Check/In. 2.	Hotel can refuse to take un married couples with no refund once the booking is made. 3.	Local ID will not be allowed to Check/In. Kindly furnish the Government Address Proof at the time of checkin. as per Delhi Police notification Room accommodation is not Valid for the guest who have Delhi and NCR address proof. hotel may refuse to offer room to unmarried couples only .",Banquet Facilities|Currency Exchange|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|Conference Facility,28.55353918,Greater Kailash Area,77.24403623,HTLGBO1000000014,"Clarks Inn, Kailash Colony",Hotel,Delhi,30,Executive Room,23,3.2,Delhi,73c53d7164eb8ad191ba89f91d2d577a
"D-14 A, Haridas ji Ki Magri, Near Oberoi Udai Vilas Hotel",Lake Pichola Area,Udaipur,100,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Airport Transfer Available / Surcharge|Banquet Facilities|Concierge|Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Non Smoking Hotel|Local Tour / Travel Desk|Major Credit Cards Accepted|Luggage Storage|Power Backup|Wake-up Call / Service|Kitchen available (home cook food on request)|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Taxi Services|Food Facility|Newspapers In Lobby|Guide / Sightseeing Service|Outdoor Parking - Secured|Parking Facility|Room Service,24.58032227,Lake Pichola Area,73.66916656,HTLGBO1000019576,Dev Villa,Homestay,Udaipur,9,Deluxe Room,1,4,Rajasthan,123cfbaafd75cd922a6a6275b1d88834
"17/1A, Ranipet, Madikeri, Coorg",Madikeri,Coorg,86,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Check-in check-out 12 noon, but if couple   checks in early can stay in the rest room till previous guest vacates and we get the room spic and span.","Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Pets Allowed|Locker Facility|Local Tour / Travel Desk|Valet service|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Power Backup|Express Check-In / Check-Out|Gardens|Computer Rental|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Smoking Rooms|Kitchen available (home cook food on request)|Massage Services |Pick Up and Drop (Rly Station, Bus Stand, Temple)|Nature Walk|Smoking Area |Veranda| Bike on Rent|Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Kids Play Zone|Self Check - In|Taxi Services|City Shuttle Service|Food Facility| Drivers Rest Room|Newspapers In Lobby|Postal / Parcel Services|Family Room|Room Service (24 Hours)| Cook Services|Baggage Room|Guide / Sightseeing Service|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Outdoor Parking - Non Secured|Parking Facility",12.423815,Madikeri,75.7359066,HTLGBO1000032056,Comfort zone,Homestay,Coorg,6,Comfort zone,104,4.7,Karnataka,7a237b750d993200db4081030adc5fe1
"Village Kundlaj, Karjat Murbad Road, Kajat",Karjat Murbad Road,Karjat,0,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly ID Cards Are mandatory at the time of check in.,Swimming Pool|Doctor on Call|Games Zone|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Table Tennis|Luggage Storage|Doorman|Welcome Drinks|Power Backup|Gardens|Pool Table|Vegetarian Food / Jain Food Available|Badminttion Court|Baggage Room|Adjoining Rooms|Outdoor Parking - Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk,19.0917123,Karjat Murbad Road,73.3808055,HTLGBO1000087062,Coral Lake resort,Resort,Karjat,13,Deluxe Room,2,2,Maharashtra,434c3f3f89b854d3889afa98b9059c2a
"4/126D, Bokkapuram, Masinagudi Niligiris",Bokkapuarm,Masinagudi,100,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Basketball Court |Gift Shop |Health Club / Gym Facility Available|Library|Parking Facilities Available|Multi Cuisine Restaurant |Table Tennis|24 Hour Front Desk|Fitness Equipment|Conference Facility |Pool Table|Safari|Badminttion Court|Food Facility|Room Service (24 Hours)|Guide / Sightseeing Service|Parking Facility,11.53435132,Bokkapuarm,76.64118634,HTLGBO1000011058,De Rock,Cottage,Masinagudi,12,Bison Cottage,13,4.1,Tamil Nadu,ecb9688fbc54f69cc1c899b0d539f21b
"NH 58, Opp Patanjali yogpeeth, Bahadrabad, Haridwar",Patanjali Yogpeeth,Haridwar,57,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|24 Hour Front Desk|Power Backup|Conference Facility |Food Facility| Drivers Rest Room|Newspapers In Lobby|Room Service (24 Hours)| Cook Services|Baggage Room|Airport Transfer Free|Parking Facility,30.12366211,Patanjali Yogpeeth,78.330009,HTLGBO1000001031,Dev Hotel,Hotel,Haridwar,22,Executive Room AC,26,3,Uttarakhand,5455d932454abeeaeda8b76037010a7e
"Manikaran Road, New Kasol, Parvati Valley, Kullu, Himachal Pradesh 175105","Vpo Kasol,Manikaran Area",Kasol,80,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly guest house respects the privacy of all its customer and business partners. Arrival and Departure policy as below :-  Check in and Check out - 1200 Hours  Early in Check and Late Check out Subjected to availability.,Business Center |Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|24 Hour Front Desk|Medical Assistance Available|Suitable For Children|Food Facility|Room Service|Full Time Operation for All 7 Days|Public Restrooms,32.01038525,"Vpo Kasol,Manikaran Area",77.31692252,HTLGBO1000060602,Dev Lok International,Hotel,Kasol,26,THREE BEDED ROOM,5,2.8,Himachal Pradesh,ed8ecee67d09587ed3576a29d2ca0d06
"#14/9, Behind Jakkur Flying Club, Opp. Corporation Bank, Jakkur Main Road, Jakkur, Bangalore",Kempegowda International Airport,Bangalore,100,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates , extra supplement will be charged over and above the paid rates as per actual and hotel discretion",Doctor on Call|Parking Facilities Available|Locker Facility|24 Hour Front Desk|Newspapers In Lobby|Children's Park|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Internet Access|Room Service|Fire Safety|CCTV|Fire Exit Signs,13.2044921,Kempegowda International Airport,77.7076907,HTLGBO1000086448,Clara Hotels,Hotel,Bangalore,10,Economy Non Ac room,3,3.7,Karnataka,c568f6b7225c5a6754dd3d95b0274de5
"Agonda, Goa",Others,Goa,100,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"Airport Transfer Available / Surcharge|Bar / Lounge |Locker Facility|Local Tour / Travel Desk|Gardens|Pick Up and Drop (Rly Station, Bus Stand, Temple)| Bike on Rent|Car Rental|Yoga Hall / Classes|Guide / Sightseeing Service|Restaurant|Room Service",15.04533273,Others,73.98557522,HTLGBO1000006233,Cuba Agonda,Beach Hut,Goa,16,DELUXE A/C SEA FACING BEACH HUT,4,4.8,Goa,49575174d19519ec62d6ff2b7224ec75
"S.C.O. 76, Circular Road, Opposite Sanatan Dharam Mandir Burail, Sector 45-C, Chandigarh",Sector 45,Chandigarh,85,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Early check-in / late check-out are subject to availability of rooms. Check-in / Check-out time is 12 noon. Aforesaid rates are per night, EP/CP basis and net non commissionable. Extension of stay is subject to availability of rooms.",Doctor on Call|Parking Facilities Available|24 Hour Front Desk|Power Backup|Food Facility|Newspapers In Lobby|STD / ISD|RO Water Purification System|Internet Access,30.7079677,Sector 45,76.7610647,HTLGBO1000029556,Crown Plaza,Hotel,Chandigarh,9,Deluxe Non AC Rooms,120,3.9,Punjab,49dd682fab517efea1c2643019301636
"Amaravathy P.O.,Kumily, Thekkady,Idukki District",Kumily,Thekkady,100,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances. It is mandatory for guests to present valid photo identification at the time of check-in. According to government regulations, a valid Photo ID has to be carried by every person above the age of 18 staying at the hotel. The identification proofs accepted are Driving License, Voter ID Card, and Passport. Without valid ID the guest will not be allowed to check-in. Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.",Doctor on Call|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Medical Assistance Available|Power Backup|Fire Place Available |Parking Facility|Room Service|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,9.6031088,Kumily,77.161458,HTLGBO1000048988,Dean Dale Cottage,Homestay,Thekkady,7,Budget Room,1,2,Kerala,bb4880c20c6fb84f90e67821f31f82db
"Dev Dholera Village, Near Baldana Village, Dev Dholera-Bavla",Dev Dholera,Ahmedabad,90,The standard check-in time is 01:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Check in 1300 Hrs - Check out 1100 Hrs.  Booking confirmation on 100% advance payment only. The rooms are subject to availability at the time of confirming the booking. The hotel reserves the right to change the rate a,Swimming Pool|Banquet Facilities|Basketball Court |Billiards|Business Center |Concierge|Disabled Friendly Facilities |Dry Cleaning|Games Zone|Golf Course|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Spa On Site - Chargeable|Squash court|Table Tennis|Tennis Court|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Audio - Visual Equipment|Wedding Services Facility|Catering|Wake-up Call / Service|Fitness Equipment|Suitable For Children|Coffee Shop / Cafe|Conference Facility |Kitchen available (home cook food on request)|Electronic / Magnetic Keys|Fire Place Available |Free Local Calls|Picnic Area|Wheelchair Accessibility - Room|Pool Table|Massage Services |Clubhouse|Open Air Restaurant / Dining | Bike on Rent|In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Express Laundry|Kids Play Zone|Oxygen Cylinder (on request)|Meditation Room|Badminttion Court|Board Room|Karaoke |Rooftop Garden|Food Facility| Drivers Rest Room|Newspapers In Lobby|Yoga Hall / Classes|Children's Park|Family Room|Room Service (24 Hours)|Spa Services Nearby|Party hall|Spa Services Onsite - Free|STD / ISD|Baggage Room|Laptop Available on Hire|Internet / Fax (Reception area only)|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|Ayurvedic Facilities |Trekking|Fire Safety|Recreation Zone|CCTV|First-Aid Kit at Front Desk|Pest Control Facility|Public Restrooms|Security at All Hotel Entrances|Smoke Detector|Suites,22.77986322,Dev Dholera,72.20118738,HTLGBO1000006533,Club Kensville Golf Resort,Resort,Ahmedabad,53,Standard Room,20,4.5,Gujarat,bcd08ff049d275de03ca556d4dbe194f
"In the national monument Fort of Jaisalmer, Near jain temples campus, Jaisalmer",Jaisalmer Fort Area,Jaisalmer,80,"The standard check-in time is 12:00 PM and the standard check-out time is 09:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  peace be maintained in room,T.V. be used up to reasonable sound level. alcohol  drinking not allowed, also drunk not allowed to stay in hotel,food eating in room  are not allowed . pates are not allowed in the hotel. original photo Id is must,",Laundry Service Available|Front Desk|Multi Cuisine Restaurant |Internet Access Free|Room Service (24 Hours),26.91216116,Jaisalmer Fort Area,70.91177753,HTLGBO1000005731,Desert Haveli Guest House,Guest House,Jaisalmer,12,Heritage Maharaja King Room.,15,4.1,Rajasthan,2e106df6e11c58c6c507e2ff6c05d5ac
"5 km Virajpet Road , Mekeri village and post",Madikeri,Coorg,75,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge on compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"Doctor on Call|Dry Cleaning|Golf Course|Internet Access - Surcharge|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Luggage Storage|Welcome Drinks|Power Backup|Gardens|Conference Facility |Kitchen available (home cook food on request)|Cell Phone Rental|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Veranda|Transfers Available| Bike on Rent|Car Rental|Taxi Services|Campfire / Bon Fire|Food Facility|Newspapers In Lobby|Children's Park|Family Room|Room Service (24 Hours)|Parking (Surcharge)|Parking Facility|Room Service",12.37821145,Madikeri,75.77080691,HTLGBO1000019346,Coorg Live in  Estate stay,Hotel,Coorg,3,Independent Wooden Cottage,4,2.8,Karnataka,3292c4bab733d5ae67bf5874ea20f620
"H.P.C Road, Opp A.S.I Museum, kamalapur",Hampi River Road,Hampi,89,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly ID cards are mandatory during the time check in.,Doctor on Call|Front Desk|Room Service (24 Hours)|Room Service|First-Aid Kit at Front Desk|Public Restrooms,15.3349787,Hampi River Road,76.4619485,HTLGBO1000079822,Clarks Inn,Hotel,Hampi,38,superior Room,37,4.3,Karnataka,12f6f52a00acfd1becde7177ef642462
"200/201, VALLUVAR MEDU BAHOUR COMMUNE PANCHAYAT MANAPATTU VILLAGE PONDICHERRY",Others,Pondicherry,81,The standard check-in time is 02:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly If Cancelled Before 31 days it will be Full Refund        If cancelled from 31 days to 15 Days it will be 50% Refund If cancelled from 14 days to day of arrival or No Show it will be NO Refund,Swimming Pool|Banquet Facilities|Bar / Lounge |Business Center |Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Laundry Service Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Gardens|Conference Facility |Smoking Area |Room Service,11.80671993,Others,79.79790688,HTLGBO1000002344,Club Mahindra Puducherry,Resort,Pondicherry,129,Hotel Unit (Superior Room),79,3.9,Pondicherry,851fd88c0052cd5f1142f67aa7679cdf
"COLORS Apart Hotel                                                                               No 128, Santhome High Road",Mylapore,Chennai,100,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Pets Allowed|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Non Smoking Hotel|Fitness Equipment|Parking Facility|Internet Access|Restaurant|Room Service,13.0361426,Mylapore,80.2779054,HTLGBO1000044808,Colors Apart Hotel,Resort,Chennai,10,Double bed,3,4.2,Tamil Nadu,e7334291310a5acc155fadcc0c117e26
"330,231-235, Queen Road",Queens Road,Amritsar,78,The standard check-in time is 02:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 02 Children upto the age of 5 are complimentary in the room (without extra bed),Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Business Center |Doctor on Call|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Front Desk|Room Service (24 Hours)|Parking Facility,31.6355038,Queens Road,74.8745873,HTLGBO1000006427,Country Inn and Suites By Carlson Amritsar,Hotel,Amritsar,10,Superior Room,245,4.2,Punjab,03a80fe05d3084599e82586836eac6cc
"Corbett National Park Zero Garjia,Nainital Dist, Ramnagar","Zero Garjia, Dhikuli",Corbett,90,The standard check-in time is 02:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Swimming Pool|Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Games Zone|Health Club / Gym Facility Available|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Spa On Site - Chargeable|Major Credit Cards Accepted|24 Hour Front Desk|Welcome Drinks|Power Backup|Conference Facility |Food Facility|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,29.4710996,"Zero Garjia, Dhikuli",79.15130075,HTLGBO1000002345,Club Mahindra Corbett,Resort,Corbett,65,Hotel Unit (Superior Room),21,2.9,Uttarakhand,f8fa15e9be6a8dc8c27b2df5a04ffcdb
"Ramnagar - Kashipur Road, Ramnagar",Ramnagar,Corbett,85,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly **** Compulsory Supplement Charges to be Paid **** Mandatory New Year Gala Dinner Charges on 31st Dec at Rs.3500  per person and INR 1750/- per adult (above 11 years) and INR 1200/- per child (age 7 to 11 years),to be paid at the hotel directly at the time of check in.",Swimming Pool|Banquet Facilities|Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Table Tennis|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Wedding Services Facility|Wake-up Call / Service|Pool Table|Safari|Badminttion Court|Internet Access Free|Room Service (24 Hours)|Party hall|Baggage Room|Parking Facility,29.3510883,Ramnagar,79.079715,HTLGBO1000016478,Corbett Blue Sky Resort (A Unit of Orawar Hotels &amp; Resorts),Hotel,Corbett,23,Deluxe Room,83,4.1,Uttarakhand,e2c50c4ee60f2052794be2ed24493275
"Country Kuteeram, Kunoor Village, Mothukur Road, Bhongir, Near Yadagiri Gutta Entrance, Nalagonda",Others,Hyderabad,80,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Food Facility,17.5392302,Others,78.9481657,HTLGBO1000038098,Country Spa Kuteeram,Resort,Hyderabad,12,Standard AC Room,21,3.7,Andhra Pradesh,261e58184318f343a2746a2e72c9ffa4
"A-6 Friends Colony East, New Delhi 110065",Kalindi Colony,Delhi,100,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Beauty Salon - on charge|Billiards|Bowling|Business Center,28.56600318,Kalindi Colony,77.268704,HTLGBO1000012492,Delhi Bed and Breakfast,BnB,Delhi,3,Double,1,4.6,Delhi,69d3c98c667878a1bbd8563672eda180
"306 B, PU 4, Scheme No. 54, Near Rusoma Circle, AB Road, Indore, Madhya Pradesh 452010",A B Road,Indore,83,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Guest has to carry valid ID proof and has to present that at time of  Check-In.,Banquet Facilities|Bar / Lounge |Business Center |Health Club / Gym Facility Available|Multi Cuisine Restaurant |Open Air Restaurant / Dining |Internet Access Free|Newspapers In Lobby,22.74763517,A B Road,75.89515299,HTLGBO1000013467,Country Inn By Carlson Indore,Hotel,Indore,15,Superior Room,333,4.4,Madhya Pradesh,38175121c5eebdeb5e6907e868182981
"Club Mahindra Kodagu Valley, Galibeedu Road, Kalakeri Nidugane, Village Madikeri, Coorg",Madikeri,Coorg,84,The standard check-in time is 02:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly If Cancelled Before 31 days it will be Full Refund        If cancelled from 31 days to 15 Days it will be 50% Refund If cancelled from 14 days to day of arrival or No Show it will be NO Refund,Swimming Pool|Games Zone|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted,12.44118604,Madikeri,75.7160681,HTLGBO1000002355,Club Mahindra madikeri Coorg,Resort,Coorg,101,Hotel Unit (Superior Room),176,4.4,Karnataka,b900d579c7e8346d98c04605743b435f
